piRNA,disease,score
miR-Plus-A1031,Paclitaxel,1
miR-515,Doxorubicin,1
miR-152,5-Fluorouracil,1
miR-4428,Cisplatin,1
miR-135b,Cisplatin,1
miR-199b,Gemcitabine,1
miR-548a,Cisplatin,1
miR-563,Gemcitabine,1
miR-27b ,Paclitaxel,1
CUDR,Gemcitabine,1
miR-629,Oxaliplatin,1
miR-601,5-Fluorouracil,1
miR-643,5-Fluorouracil,1
XIST,5-Fluorouracil,1
miR-550,Cisplatin,1
miR-519,Gemcitabine,1
miR-4485,Doxorubicin,1
miR-585,Doxorubicin,1
miR-625*,Paclitaxel,1
Let-7a,Gemcitabine,1
miR-520d*,Doxorubicin,1
CUDR,Doxorubicin,1
miR-215,Gemcitabine,1
miR-1273g,Cisplatin,1
miR-204-5p,Cisplatin,1
miR-651,Oxaliplatin,1
miR-630,Doxorubicin,1
miR-588,Cisplatin,1
miR-574,Cisplatin,1
miR-933,Cisplatin,1
miR-382,Gemcitabine,1
miR-378e,Doxorubicin,1
miR-675*,Doxorubicin,1
miR-363*,Doxorubicin,1
miR-1233,Gemcitabine,1
miR-522,Gemcitabine,1
miR-585,Verapamil,1
miR-212,5-Fluorouracil,1
miR-129,Gemcitabine,1
miR-34c,5-Fluorouracil,1
miR-192,5-Fluorouracil,1
miR-181a,Gemcitabine,1
miR-300,5-Fluorouracil,1
LINP1,5-Fluorouracil,1
miR-126*,Gemcitabine,1
miR-4674,Oxaliplatin,1
miR-199b,5-Fluorouracil,1
miR-629,Cisplatin,1
miR-4674,Paclitaxel,1
miR-4689,Cisplatin,1
miR-518c,5-Fluorouracil,1
miR-3141,Cisplatin,1
miR-1228,Verapamil,1
miR-4674,Doxorubicin,1
miR-101,Verapamil,1
miR-514,5-Fluorouracil,1
miR-1207,Doxorubicin,1
miR-4516,Cisplatin,1
miR-4674,Cisplatin,1
LINP1,Gemcitabine,1
miR-199a-3p,5-Fluorouracil,1
miR-125a,5-Fluorouracil,1
miR-618,Gemcitabine,1
SLC25A25-AS1,Gemcitabine,1
miR-497,Gemcitabine,1
miR-618,Doxorubicin,1
miR-29b-2*,Gemcitabine,1
miR-885,Verapamil,1
Lnc-VLDLR,5-Fluorouracil,1
miR-935,Gemcitabine,1
miR-191*,Gemcitabine,1
miR-605,Oxaliplatin,1
miR-378c,Verapamil,1
miR-105,Oxaliplatin,1
miR-126,5-Fluorouracil,1
miR-555,Gemcitabine,1
miR-758,Cisplatin,1
miR-587,Gemcitabine,1
